hex_id,collision_date,collision_year,collision_month,collision_dayofweek,collision_hour,accident_count,ttv_split,node_street_count,node_stop,node_traffic_signals,la_data_city_name,edge_speed_kph_max,edge_speek_kph_min,edge_lanes_max,edge_motorway_flag,edge_motorway_link_flag,edge_living_street_flag,edge_bridge_flag,edge_oneway_flag,edge_tunnel_flag,amenities_bar_cnt,amenities_school_cnt,amenities_restaurant_cnt,amenities_college_cnt,prev1_yr_coll_cnt,prev2_yr_coll_cnt,prev1_yr_coll_neighbor1,prev1_yr_coll_neighbor2,prev2_yr_coll_neighbor1,prev2_yr_coll_neighbor2,noaa_wind_speed,noaa_precipitation,noaa_temperature_average,noaa_temperature_max,noaa_temperature_min,drv_collision_hour_sin,drv_collision_hour_cos,drv_holiday_flag,drv_edge_lanes_max_imputed_flag
882912484dfffff,2019-07-07,2019,7,6,18,1,Validate,3.0,0.0,0.0,Unincorporated,88.5,49.4,5.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,5.0,7.38,0.0,66,72.0,64.0,-0.979084087682323,0.2034560130526333,0,0
882912484dfffff,2019-07-17,2019,7,2,14,1,Train,3.0,0.0,0.0,Unincorporated,88.5,49.4,5.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,5.0,8.05,0.0,68,74.0,64.0,-0.6310879443260528,-0.7757112907044198,0,0
882912484dfffff,2020-01-15,2020,1,2,5,1,Train,3.0,0.0,0.0,Unincorporated,88.5,49.4,5.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,5.0,4.0,5.0,5.14,0.0,55,64.0,47.0,0.9790840876823229,0.20345601305263375,0,0
882912484dfffff,2020-07-25,2020,7,5,14,1,Test,3.0,0.0,0.0,Unincorporated,88.5,49.4,5.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,5.0,4.0,5.0,7.61,0.0,66,72.0,61.0,-0.6310879443260528,-0.7757112907044198,0,0
882912484dfffff,2020-12-21,2020,12,0,17,1,Train,3.0,0.0,0.0,Unincorporated,88.5,49.4,5.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,5.0,4.0,5.0,6.04,0.0,63,80.0,53.0,-0.9976687691905393,-0.06824241336467046,0,0
8829124867fffff,2018-04-28,2018,4,5,22,1,Test,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.28,0.0,61,68.0,54.0,-0.2697967711570252,0.962917287347799,0,1
8829124867fffff,2018-07-14,2018,7,5,11,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.72,0.0,72,78.0,68.0,0.1361666490962471,-0.9906859460363306,0,1
8829124901fffff,2014-06-30,2014,6,0,15,1,Train,3.0,0.0,0.0,Unincorporated,59.0,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,0.0,70,75.0,66.0,-0.816969893010442,-0.5766803221148672,0,0
8829124901fffff,2016-12-03,2016,12,5,15,1,Validate,3.0,0.0,0.0,Unincorporated,59.0,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,8.0,4.92,0.0,57,66.0,45.0,-0.816969893010442,-0.5766803221148672,0,0
8829124903fffff,2017-05-09,2017,5,1,22,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,9.62,0.0,61,71.0,55.0,-0.2697967711570252,0.962917287347799,0,1
